Filename,Category
subject452_NREM.edf,Miscellaneous & Unclear
subject452_REM.edf,Abstract and Thought based
subject452_SO2.edf,Abstract and Thought based
subject452_SO3.edf,People and Social Interaction
subject452_SO4.edf,Adventure and Movement
subject452_SO5.edf,Adventure and Movement
subject452_SO6.edf,People and Social Interaction
subject452_SO7.edf,Adventure and Movement
subject455_Morning.edf,People and Social Interaction
subject455_NREM.edf,Fear and Uncertainity
subject455_REM.edf,Miscellaneous & Unclear
subject455_SO1.edf,Abstract and Thought based
subject455_SO2.edf,Abstract and Thought based
subject455_SO3.edf,Abstract and Thought based
subject455_SO4.edf,Abstract and Thought based
subject455_SO5.edf,Abstract and Thought based
subject455_SO6.edf,Miscellaneous & Unclear
subject455_SO7.edf,Abstract and Thought based
subject512_Morning.edf,People and Social Interaction
subject512_NREM.edf,Abstract and Thought based
subject512_REM.edf,Abstract and Thought based
subject512_SO1.edf,People and Social Interaction
subject512_SO10.edf,People and Social Interaction
subject512_SO2.edf,Adventure and Movement
subject512_SO3.edf,Miscellaneous & Unclear
subject512_SO4.edf,Adventure and Movement
subject512_SO5.edf,People and Social Interaction
subject512_SO6.edf,People and Social Interaction
subject512_SO7.edf,Abstract and Thought based
subject512_SO8.edf,Miscellaneous & Unclear
subject512_SO9.edf,Adventure and Movement
subject535_Morning.edf,Adventure and Movement
subject535_NREM.edf,Abstract and Thought based
subject535_REM.edf,Adventure and Movement
subject535_SO1.edf,Adventure and Movement
subject535_SO10.edf,Adventure and Movement
subject535_SO2.edf,People and Social Interaction
subject535_SO3.edf,Abstract and Thought based
subject535_SO4.edf,Adventure and Movement
subject535_SO5.edf,People and Social Interaction
subject535_SO6.edf,Abstract and Thought based
subject535_SO7.edf,Abstract and Thought based
subject535_SO8.edf,People and Social Interaction
subject535_SO9.edf,Abstract and Thought based
